url,in_sitemap,sitemap_lastmod,status,final_url,redirected,noindex,meta_robots,x_robots_tag,canonical,canonical_self,canonical_count,html_lang,title,title_len,description,description_len,h1,h1_count,h2_count,h3_count,word_count,internal_link_count,external_link_count,telegram_links,img_count,img_missing_alt,jsonld_types,jsonld_has_faq,jsonld_has_breadcrumb,jsonld_has_org,jsonld_has_localbusiness,jsonld_has_service,jsonld_has_article,faq_heading,og_title,og_image,twitter_card,hreflang,html_bytes
https://gptbot.uz/,True,2026-09-13,200,https://gptbot.uz/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/,True,1,ru,GPTBot — AI-бот для бизнеса в Узбекистане | Telegram,52,"GPTBot — AI/GPT-менеджер для Instagram и Telegram. Отвечает клиентам 24/7, собирает имя, телефон и передаёт горячие заявки менеджеру.",133,"GPTBot — AI-бот для бизнеса в Узбекистане, который не теряет заявки",1,4,0,2129,289,1,1,2,2,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""WebPage"", ""Service""]",False,False,True,True,True,False,False,GPTBot — AI-бот для бизнеса в Узбекистане,https://gptbot.uz/assets/landing/premium/gptbot-ai-bot-business-og.jpg,summary_large_image,"{""x-default"": ""https://gptbot.uz/""}",74397
https://gptbot.uz/boss-digital/,True,2026-07-02,200,https://gptbot.uz/boss-digital/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/boss-digital/,True,1,ru,Digital-агентство в Ташкенте | Boss Digital,43,"Boss Digital создаёт сайты, AI- и Telegram-ботов и CRM-интеграции для бизнеса в Узбекистане. GPTBot.uz — AI-направление агентства.",130,Boss Digital — digital-агентство и AI-автоматизация бизнеса в Ташкенте,1,11,16,1021,17,3,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""BreadcrumbList"", ""WebPage"", ""FAQPage"", ""['ProfessionalService', 'Organization']""]",True,True,True,True,True,False,True,Boss Digital — digital-агентство и AI-автоматизация в Ташкенте,https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/boss-digital/"", ""uz"": ""https://gptbot.uz/uz/boss-digital/"", ""x-default"": ""https://gptbot.uz/boss-digital/""}",77186
https://gptbot.uz/ru/,True,2026-07-01,200,https://gptbot.uz/ru/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/,True,1,ru,AI-боты для бизнеса в Узбекистане | GPTBot.uz,45,"AI-боты для бизнеса в Узбекистане: Telegram, Instagram Direct и WhatsApp. Отвечаем клиентам 24/7 на русском и узбекском, собираем заявки и передаём менеджеру.",158,AI-боты для бизнеса в Узбекистане,1,9,6,1001,48,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""FAQPage""]",True,True,True,True,True,False,True,AI-боты для бизнеса в Узбекистане — GPTBot.uz,https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/"", ""uz"": ""https://gptbot.uz/uz/"", ""x-default"": ""https://gptbot.uz/ru/""}",82332
https://gptbot.uz/ru/ai-bot-dlya-agentstva-nedvizhimosti/,True,2026-09-04,200,https://gptbot.uz/ru/ai-bot-dlya-agentstva-nedvizhimosti/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/ai-bot-dlya-agentstva-nedvizhimosti/,True,1,ru,AI-бот для агентства недвижимости — заявки 24/7 | GPTBot,56,"AI-бот для агентства недвижимости и риелторов в Узбекистане: отвечает на заявки 24/7, собирает контакты и квалифицирует покупателей и арендаторов.",146,AI-бот для агентства недвижимости и риелторов,1,15,8,1371,21,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""Service"", ""FAQPage""]",True,True,True,True,True,False,True,AI-бот для агентства недвижимости и риелторов в Узбекистане,https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/ai-bot-dlya-agentstva-nedvizhimosti/"", ""uz"": ""https://gptbot.uz/uz/kochmas-mulk-agentligi-uchun-ai-bot/"", ""x-default"": ""https://gptbot.uz/ru/ai-bot-dlya-agentstva-nedvizhimosti/""}",85463
https://gptbot.uz/ru/ai-bot-dlya-avtosalona/,True,2026-09-04,200,https://gptbot.uz/ru/ai-bot-dlya-avtosalona/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/ai-bot-dlya-avtosalona/,True,1,ru,AI-бот для автосалона — заявки на авто 24/7 2026 | GPTBot,57,"AI-бот для автосалона и автосервиса: квалифицирует заявки на покупку авто, отвечает по моделям, цене и трейд-ин, записывает на тест-драйв и сервис 24/7.",152,AI-бот для автосалона и автосервиса,1,7,7,808,17,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""Service"", ""FAQPage""]",True,True,True,True,True,False,True,AI-бот для автосалона и автосервиса — заявки 24/7 | GPTBot,https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/ai-bot-dlya-avtosalona/"", ""uz"": ""https://gptbot.uz/uz/avtosalon-uchun-ai-bot/"", ""x-default"": ""https://gptbot.uz/ru/ai-bot-dlya-avtosalona/""}",57948
https://gptbot.uz/ru/ai-bot-dlya-biznesa/,True,2026-09-03,200,https://gptbot.uz/ru/ai-bot-dlya-biznesa/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/ai-bot-dlya-biznesa/,True,1,ru,"AI-бот для бизнеса в Ташкенте — от 1 990 000 сум, запуск за 5 дней | GPTBot",75,"AI-бот для бизнеса в Ташкенте и Узбекистане: отвечает клиентам 24/7 в Telegram и Instagram на русском и узбекском, собирает заявки, передаёт в CRM. Тарифы от 1 990 000 сум, запуск от 5 дней.",190,AI-бот для бизнеса: круглосуточный GPT-менеджер,1,12,7,1146,31,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""Service"", ""FAQPage""]",True,True,True,True,True,False,True,"AI-бот для бизнеса в Ташкенте — от 1 990 000 сум, запуск за 5 дней | GPTBot",https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/ai-bot-dlya-biznesa/"", ""uz"": ""https://gptbot.uz/uz/biznes-uchun-ai-bot/"", ""x-default"": ""https://gptbot.uz/ru/ai-bot-dlya-biznesa/""}",77243
https://gptbot.uz/ru/ai-bot-dlya-dostavki-edy/,True,2026-09-04,200,https://gptbot.uz/ru/ai-bot-dlya-dostavki-edy/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/ai-bot-dlya-dostavki-edy/,True,1,ru,AI-бот для доставки еды — приём заказов 24/7 2026 | GPTBot,58,"AI-бот для доставки еды: принимает заказы, ведёт по меню, считает сумму, уточняет адрес и сообщает статус доставки 24/7.",120,AI-бот для доставки еды,1,7,7,831,18,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""Service"", ""FAQPage""]",True,True,True,True,True,False,True,AI-бот для доставки еды — приём заказов 24/7 | GPTBot,https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/ai-bot-dlya-dostavki-edy/"", ""uz"": ""https://gptbot.uz/uz/yetkazib-berish-uchun-ai-bot/"", ""x-default"": ""https://gptbot.uz/ru/ai-bot-dlya-dostavki-edy/""}",58326
https://gptbot.uz/ru/ai-bot-dlya-fitnes-kluba/,True,2026-09-04,200,https://gptbot.uz/ru/ai-bot-dlya-fitnes-kluba/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/ai-bot-dlya-fitnes-kluba/,True,1,ru,AI-бот для фитнес-клуба — запись и абонементы 24/7 2026,55,"AI-бот для фитнес-клуба: записывает на пробное занятие, отвечает по абонементам и расписанию, напоминает о продлении и тренировках 24/7.",136,AI-бот для фитнес-клуба и спортзала,1,7,7,704,17,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""Service"", ""FAQPage""]",True,True,True,True,True,False,True,AI-бот для фитнес-клуба — запись и абонементы 24/7 | GPTBot,https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/ai-bot-dlya-fitnes-kluba/"", ""uz"": ""https://gptbot.uz/uz/fitnes-klub-uchun-ai-bot/"", ""x-default"": ""https://gptbot.uz/ru/ai-bot-dlya-fitnes-kluba/""}",56530
https://gptbot.uz/ru/ai-bot-dlya-horeca/,True,2026-09-04,200,https://gptbot.uz/ru/ai-bot-dlya-horeca/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/ai-bot-dlya-horeca/,True,1,ru,AI-бот для HoReCa — бронирование и заказы 24/7,46,"AI-бот для ресторанов и кафе принимает бронирование столиков и заказы на доставку, отвечает на вопросы гостей о меню и часах работы 24/7 в Telegram.",148,AI-бот для HoReCa: виртуальный администратор,1,13,9,825,16,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""Service"", ""FAQPage""]",True,True,True,True,True,False,True,AI-бот для HoReCa — бронирование и заказы 24/7,https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/ai-bot-dlya-horeca/"", ""uz"": ""https://gptbot.uz/uz/horeca-uchun-ai-bot/"", ""x-default"": ""https://gptbot.uz/ru/ai-bot-dlya-horeca/""}",64427
https://gptbot.uz/ru/ai-bot-dlya-kliniki/,True,2026-09-03,200,https://gptbot.uz/ru/ai-bot-dlya-kliniki/,False,False,"index, follow, max-image-preview:large",,https://gptbot.uz/ru/ai-bot-dlya-kliniki/,True,1,ru,"AI-бот для клиники в Ташкенте — запись 24/7, от 1 990 000 сум | GPTBot",70,"AI-бот для клиники в Ташкенте: запись на приём в Telegram и Instagram 24/7, ответы пациентам на русском и узбекском, напоминания и передача в регистратуру. Тарифы от 1 990 000 сум, запуск от 7 дней.",198,AI-бот для клиники: виртуальная регистратура,1,14,9,884,19,2,1,1,1,"[""['Organization', 'ProfessionalService']"", ""Person"", ""WebSite"", ""BreadcrumbList"", ""WebPage"", ""Service"", ""FAQPage""]",True,True,True,True,True,False,True,"AI-бот для клиники в Ташкенте — запись 24/7, от 1 990 000 сум | GPTBot",https://gptbot.uz/assets/landing/og.jpg,summary_large_image,"{""ru"": ""https://gptbot.uz/ru/ai-bot-dlya-kliniki/"", ""uz"": ""https://gptbot.uz/uz/klinika-uchun-ai-bot/"", ""x-default"": ""https://gptbot.uz/ru/ai-bot-dlya-kliniki/""}",69918
